VERSION;7.2.1.201802190531
DATE;01/08/2018 07:46
ITERATION;MODEL;OBJECTIVE FUNCTION;VALUE
1;base0001;NQDS QL WELL WILDCAT;1.546913376470593E-10
1;base0001;NQDS QW WELL WILDCAT;-3.810029362781119
1;base0001;NQDS QO WELL WILDCAT;0.1051025917942746
1;base0001;NQDS BHP WELL WILDCAT;-0.4837290864629012
1;base0001;NQDS QL WELL PROD1;-4.275538672718166E-10
1;base0001;NQDS QW WELL PROD1;-24.4436235868358
1;base0001;NQDS QO WELL PROD1;2.266800023627816
1;base0001;NQDS BHP WELL PROD1;-0.2101676839889089
1;base0001;NQDS QL WELL PROD2;-3.260891378873656E-10
1;base0001;NQDS QW WELL PROD2;-19.30702000969617
1;base0001;NQDS QO WELL PROD2;4.350497135520209
1;base0001;NQDS BHP WELL PROD2;-0.1407137517454454
1;base0001;NQDS QL WELL PROD3;1.218369735547229E-14
1;base0001;NQDS QW WELL PROD3;3.431650101146378E-13
1;base0001;NQDS QO WELL PROD3;0.0
1;base0001;NQDS BHP WELL PROD3;-0.4593091996556547
1;base0001;NQDS QL WELL PROD4;1.316655188492436E-10
1;base0001;NQDS QW WELL PROD4;-57.5587490510138
1;base0001;NQDS QO WELL PROD4;4.368939104775906
1;base0001;NQDS BHP WELL PROD4;-0.3756248007118471
1;base0001;NQDS QL WELL PROD5;5.136785272683122E-15
1;base0001;NQDS QW WELL PROD5;1.694040903952727E-13
1;base0001;NQDS QO WELL PROD5;2.871469501338845E-9
1;base0001;NQDS BHP WELL PROD5;-0.6799879111560727
1;base0001;NQDS QL WELL PROD6;3.641540283518298E-10
1;base0001;NQDS QW WELL PROD6;-37.93206202760553
1;base0001;NQDS QO WELL PROD6;1.489830080982063
1;base0001;NQDS BHP WELL PROD6;0.2530947856810332
1;base0001;NQDS QL WELL PROD7;4.366735471278788E-10
1;base0001;NQDS QW WELL PROD7;-1.895422520015375
1;base0001;NQDS QO WELL PROD7;0.2137024263966167
1;base0001;NQDS BHP WELL PROD7;-0.4734896517728442
1;base0001;NQDS QL WELL PROD8;2.24767741343075E-10
1;base0001;NQDS QW WELL PROD8;-13.52151808166623
1;base0001;NQDS QO WELL PROD8;0.2332276747622936
1;base0001;NQDS BHP WELL PROD8;-0.3115990589444922
1;base0001;NQDS QL WELL PROD9;3.44667042664487E-11
1;base0001;NQDS QW WELL PROD9;-59.3537024667224
1;base0001;NQDS QO WELL PROD9;1.394541123090433
1;base0001;NQDS BHP WELL PROD9;-0.2040584825854609
1;base0001;NQDS QL WELL PROD10;-2.609847768320504E-10
1;base0001;NQDS QW WELL PROD10;-0.3951740264646858
1;base0001;NQDS QO WELL PROD10;0.009685888517160249
1;base0001;NQDS BHP WELL PROD10;-0.3965703561199147
1;base0001;NQDS QWI WELL INJ1;0.0
1;base0001;NQDS BHP WELL INJ1;-0.1945229766876827
1;base0001;NQDS QWI WELL INJ2;0.0
1;base0001;NQDS BHP WELL INJ2;-0.1376609012625315
1;base0001;NQDS QWI WELL INJ3;0.0
1;base0001;NQDS BHP WELL INJ3;-0.2376885665064021
1;base0001;NQDS QWI WELL INJ4;0.0
1;base0001;NQDS BHP WELL INJ4;-0.6627015145146146
1;base0001;NQDS QWI WELL INJ5;0.0
1;base0001;NQDS BHP WELL INJ5;-0.2631531397344505
1;base0001;NQDS QWI WELL INJ6;0.0
1;base0001;NQDS BHP WELL INJ6;-0.325032268738249
1;base0001;NQDS QWI WELL INJ7;0.0
1;base0001;NQDS BHP WELL INJ7;-1.659630414701675
1;base0001;NQDS QWI WELL INJ8;0.0
1;base0001;NQDS BHP WELL INJ8;-0.249940812725063
1;base0001;NQDS QWI WELL INJ9;0.0
1;base0001;NQDS BHP WELL INJ9;-0.3781650523051188
1;base0002;NQDS QL WELL WILDCAT;1.807360035574274E-10
1;base0002;NQDS QW WELL WILDCAT;-10.86561757652999
1;base0002;NQDS QO WELL WILDCAT;0.2997401125752817
1;base0002;NQDS BHP WELL WILDCAT;-0.5516604035350388
1;base0002;NQDS QL WELL PROD1;5.156687589046117E-10
1;base0002;NQDS QW WELL PROD1;-1.973018732690393
1;base0002;NQDS QO WELL PROD1;0.1829717403171373
1;base0002;NQDS BHP WELL PROD1;-0.2241189045559238
1;base0002;NQDS QL WELL PROD2;3.558226565005706E-10
1;base0002;NQDS QW WELL PROD2;-7.471931585787245
1;base0002;NQDS QO WELL PROD2;1.683590897515051
1;base0002;NQDS BHP WELL PROD2;-0.1420042178948433
1;base0002;NQDS QL WELL PROD3;-2.199381391991953E-10
1;base0002;NQDS QW WELL PROD3;0.2417623611932288
1;base0002;NQDS QO WELL PROD3;-0.002146222188908411
1;base0002;NQDS BHP WELL PROD3;-0.4965110680823085
1;base0002;NQDS QL WELL PROD4;-3.260489497107246E-10
1;base0002;NQDS QW WELL PROD4;-4.250089433372076
1;base0002;NQDS QO WELL PROD4;0.3226142907085144
1;base0002;NQDS BHP WELL PROD4;-0.5887188664816584
1;base0002;NQDS QL WELL PROD5;8.38765322914414E-15
1;base0002;NQDS QW WELL PROD5;2.766132299495455E-13
